,control1,lps1,control2,lps2,control3,lps3
GRHL1,53,51,173,135,72,111
GRHL2,0,0,0,0,0,0
GRHL3,22,5,26,11,44,6
GRHPR,2387,944,1750,779,2540,1390
GRIA1,0,0,0,0,0,0
GRIA2,0,0,0,0,0,0
GRIA3,1,2,0,8,1,3
GRIA4,3,0,4,0,2,0
GRID1,0,0,50,4,5,1
GRID1-AS1,0,0,2,0,0,0
GRID2,0,0,0,0,1,0
GRID2IP,33,28,91,29,19,15
GRIK1,34,69,31,53,27,72
GRIK1-AS1,14,3,3,2,2,0
GRIK1-AS2,22,28,17,42,21,26
GRIK2,10,3,9,3,0,1
GRIK3,0,0,0,0,0,0
GRIK4,22,3,18,12,1,2
GRIK5,5,5,6,6,8,3
GRIN1,1,1,4,13,0,2
GRIN2A,6,3,15,1,0,0
GRIN2B,1,2,0,0,0,0
GRIN2C,12,7,16,8,12,5
GRIN2D,400,816,243,638,239,352
GRIN3A,174,184,123,210,290,175
GRIN3B,31,20,34,41,40,36
GRINA,11582,52798,13209,53986,16536,52235
GRIP1,22,25,29,52,17,23
GRIP2,211,105,16,298,17,20
GRIPAP1,3020,4625,3142,4723,2872,4635
GRK1,0,0,0,0,0,0
GRK4,55,22,64,27,52,44
GRK5,203,66,64,81,160,76
GRK5-IT1,0,1,1,0,0,1
GRK6,3802,4450,4290,2315,4225,5306
GRK7,1,2,2,2,2,2
GRM1,11,6,3,0,32,5
GRM2,1,0,2,1,1,2
GRM3,0,0,0,2,0,0
GRM4,0,1,0,0,0,0
GRM5,0,0,0,0,0,0
GRM5-AS1,0,0,0,0,0,0
GRM6,0,0,0,1,0,0
GRM7,0,0,0,0,0,0
GRM8,0,0,0,0,0,0
GRN,92470,76511,72652,81748,156334,74146
GRP,0,0,0,0,0,0
GRPEL1,2077,1268,1498,1006,1470,1504
GRPEL2,649,477,512,397,482,466
GRPR,73,45,36,45,31,49
GRSF1,5421,4705,5060,7143,4598,3765
GRTP1,44,54,153,143,52,52
GRWD1,1804,814,1139,749,1307,778
GRXCR1,0,0,0,0,0,0
GRXCR2,5,0,8,1,1,2
GS1-122H1.2,0,0,0,0,0,0
GS1-18A18.1,0,0,0,0,0,0
GS1-204I12.1,0,0,0,0,0,0
GS1-24F4.2,0,0,0,0,0,0
GS1-251I9.4,490,417,430,314,435,505
GS1-259H13.2,2,3,7,4,1,4
GS1-279B7.1,1,1,3,0,0,0
GS1-600G8.3,0,0,0,0,0,0
GSAP,4740,6939,4087,4278,5075,7419
GSC,1,0,0,0,1,1
GSC2,0,0,0,0,0,0
GSDMA,322,17,41,12,1682,58
GSDMB,87,111,49,67,116,122
GSDMC,0,0,2,0,0,0
GSDMD,1439,2573,1448,3758,1665,2324
GSE1,4036,2630,5258,2959,2843,2485
GSG1,58,14,64,16,77,29
GSG1L,1,0,23,1,3,0
GSG2,533,108,192,86,188,167
GSK3A,3348,3972,3157,3028,3169,4568
GSK3B,5342,4397,5028,4614,5318,4980
GSKIP,1576,1238,1330,1305,1367,1322
GSN,78905,40196,116218,48675,55022,42989
GSN-AS1,284,419,330,323,194,396
GSPT1,11401,5091,7131,3988,7874,4774
GSPT2,529,480,510,428,424,372
GSR,13020,9452,15051,5813,9300,9699
GSS,2606,2396,2467,1971,2692,2555
GSTA1,0,0,0,0,0,0
GSTA2,0,0,0,0,0,0
GSTA3,0,0,0,0,0,0
GSTA4,35,4,14,14,30,10
GSTA5,0,0,0,0,0,0
GSTA7P,0,0,0,0,0,0
GSTCD,858,472,547,433,700,528
GSTK1,5576,3293,6136,4178,6411,3221
GSTM1,9,1,559,149,2,3
GSTM2,194,10,254,14,105,17
GSTM2P1,0,0,1,0,0,0
GSTM3,261,263,662,450,207,338
GSTM4,1577,332,3723,662,1111,597
GSTM5,5,0,6,2,1,0
GSTO1,8835,9644,11560,9056,8480,10356
GSTO2,16,30,26,29,11,41
GSTP1,10017,6288,6409,5119,10182,4774
GSTT1,0,0,0,0,0,0
GSTT2,9,7,2,3,4,0
GSTT2B,28,8,48,20,41,15
GSTTP1,0,0,0,0,1,0
GSTTP2,0,0,0,0,0,0
GSTZ1,780,672,895,784,731,716
GSX1,0,0,0,0,0,0
GSX2,0,0,0,0,0,0
GTDC1,1221,1187,1312,982,1322,1278
GTF2A1,3703,2968,3545,3164,2619,2950
GTF2A1L,0,0,0,0,0,0
GTF2A2,1995,1237,1527,1147,1555,1391
GTF2B,1328,2985,1405,3547,1275,2764
GTF2E1,1628,1751,1595,2011,1318,2218
GTF2E2,1551,1823,1325,2284,1357,1877
GTF2F1,4638,3825,3094,3790,4367,4340
GTF2F2,1475,1782,1463,1274,1142,1260
GTF2H1,3113,2657,2232,2483,2705,2595
GTF2H2,195,139,149,108,215,198
GTF2H2B,38,27,31,11,107,88
GTF2H2C,303,223,263,243,250,258
GTF2H2D,0,0,0,0,0,0
GTF2H3,2579,2423,2561,2374,1997,2036
GTF2H4,678,667,429,512,653,727
GTF2H5,637,518,479,465,671,497
GTF2I,4662,2703,4630,2537,3285,2802
GTF2IP1,318,225,390,195,230,217
GTF2IRD1,615,435,873,530,633,561
GTF2IRD1P1,3,5,9,3,1,4
GTF2IRD2,13,7,5,16,64,50
GTF2IRD2B,140,99,25,128,164,104
GTF3A,6512,1659,5795,1250,4465,1782
GTF3C1,5667,5022,5323,4141,4775,5068
GTF3C2,4366,2913,3616,2111,3987,2938
GTF3C3,2489,2142,2375,2346,2196,2094
GTF3C4,1419,1018,1070,999,1109,1060
GTF3C5,1870,1805,1541,2070,1786,1907
GTF3C6,2420,1726,2076,1761,2408,2080
GTPBP1,1981,5172,1887,9543,1845,4604
GTPBP10,909,854,834,700,849,865
GTPBP2,2239,7786,2708,9218,2734,7794
GTPBP3,511,214,304,271,403,241
GTPBP4,3194,3290,2327,2761,1844,2570
GTPBP6,1635,888,1563,859,1840,998
GTPBP8,484,346,318,367,309,371
GTSCR1,0,1,0,0,6,0
GTSE1,824,14,58,18,16,11
GTSE1-AS1,14,13,13,14,19,14
GTSF1,99,63,76,68,70,64
GTSF1L,0,2,0,0,0,0
GUCA1A,0,0,4,2,0,0
GUCA1B,41,32,24,17,31,14
GUCA1C,0,0,0,0,0,0
GUCA2A,0,0,0,0,0,0
GUCA2B,0,0,0,0,0,0
GUCD1,5520,5208,6119,5375,5086,5732
GUCY1A2,5,9,51,6,11,14
GUCY1A3,27,346,77,701,7,174
GUCY1B2,6,71,6,39,4,102
GUCY1B3,40,504,184,537,11,387
GUCY2C,74,64,63,14,50,19
GUCY2D,18,23,23,20,40,21
GUCY2EP,0,17,1,41,0,11
GUCY2F,9,24,6,55,5,8
GUCY2GP,0,0,0,0,0,0
GUF1,2894,1418,3047,1261,2505,1683
GUK1,3348,2623,3403,3017,3809,2808
GULP1,0,0,0,0,0,0
GUSB,7083,4940,9711,5149,9437,5177
GUSBP1,194,139,131,94,174,124
GUSBP10,0,0,0,1,0,0
GUSBP11,719,593,561,595,914,681
GUSBP2,22,8,15,4,13,9
GUSBP3,0,0,0,0,6,9
GUSBP4,73,50,30,35,40,45
GUSBP5,2,0,2,1,1,1
GUSBP9,37,28,13,36,20,18
GVINP1,538,1259,316,1249,1063,1310
GXYLT1,1377,1837,1680,1741,1869,2165
GXYLT2,88,23,64,20,6,28
GYG1,3660,2708,2903,3063,3477,2572
GYG2,0,0,0,0,0,0
GYG2P1,0,0,0,0,0,0
GYLTL1B,1,0,0,0,4,0
GYPA,0,0,0,0,0,0
GYPB,0,0,0,0,0,0
GYPC,1271,1495,417,1340,977,1093
GYPE,19,4,0,1,4,6
GYS1,3922,2894,2705,2685,2450,2332
GYS2,6,3,2,0,5,1
GZF1,2012,1156,904,1009,2658,1332
GZMA,8,19,4,1,11,22
GZMB,74,222,136,431,15,100
GZMH,1,2,0,0,17,9
GZMK,4,12,4,4,24,38
GZMM,4,8,4,4,24,27
H19,0,0,0,0,0,0
H1F0,3030,25346,2746,23692,5933,22825
H1FNT,0,1,1,2,2,0
H1FOO,2,1,1,0,0,0
H1FX,3384,7299,3944,9919,3630,5871
H1FX-AS1,19,15,26,26,9,6
H2AFB1,0,0,1,0,0,0
H2AFB2,0,0,0,0,0,0
H2AFB3,0,0,0,0,0,0
H2AFJ,832,1548,960,1245,834,1193
H2AFV,3406,2121,2365,1732,3152,2080
H2AFX,2555,1169,904,1110,993,1151
H2AFY,27960,13799,23138,8057,24807,15078
H2AFY2,627,617,1809,1713,536,444
H2AFZ,4574,1896,2299,1673,2468,1847
H2BFM,0,0,0,0,0,0
H2BFWT,0,0,0,0,0,0
H2BFXP,0,0,3,0,0,1
H3F3A,4540,2981,4736,3926,4927,3919
H3F3AP4,2423,1698,1330,1124,1424,1103
H3F3B,11817,23193,13321,23753,10050,18962
H3F3C,9,15,6,13,10,16
H6PD,6825,10873,13637,17622,8304,13646
HAAO,937,389,1298,435,586,342
HABP2,0,2,0,0,1,0
HABP4,253,161,408,268,265,119
HACE1,378,335,431,343,353,300
HACL1,875,555,726,603,789,662
HADH,1540,108,942,87,1685,118
HADHA,14757,10258,16201,9705,17168,11626
HADHB,8833,5722,9871,5412,9419,6296
HAGH,1713,1678,2005,1860,1645,1609
HAGHL,691,48,520,63,584,89
HAL,119,34,79,34,183,52
HAMP,278,39,301,30,1060,104
HAND1,0,0,0,0,0,0
HAND2,0,0,0,0,0,0
HAND2-AS1,0,0,0,0,0,0
HAO1,0,0,0,0,0,0
HAO2,0,0,3,1,0,0
HAO2-IT1,0,0,0,0,0,0
HAP1,13,6,33,6,5,6
HAPLN1,0,0,0,0,0,0
HAPLN2,0,0,0,0,0,0
HAPLN3,16,518,22,1042,26,426
HAPLN4,28,7,4,4,38,11
HAR1A,0,2,0,1,3,9
HAR1B,3,0,2,0,2,0
HARBI1,173,230,154,269,200,234
HARS,2809,2554,2222,2572,2162,2601
HARS2,1515,1671,1346,1779,1423,1643
HAS1,0,64,0,53,0,38
HAS2,0,0,0,0,0,0
HAS2-AS1,0,0,0,0,0,0
HAS3,20,29,10,75,34,43
HAT1,2330,1582,2002,1079,1857,1704
HAUS1,984,707,552,671,799,793
HAUS2,1888,1287,1416,1123,1755,1293
HAUS3,885,628,570,593,713,715
HAUS4,2280,1556,1715,1855,2367,1732
HAUS5,394,251,224,221,343,298
HAUS6,1866,1263,1053,1257,1160,1183
HAUS7,471,176,234,114,449,200
HAUS8,696,383,402,260,561,400
HAVCR1,64,54,162,63,119,57
HAVCR1P1,2,6,0,0,2,0
HAVCR2,10980,6057,14778,5766,15758,6813
HAX1,2550,3261,2258,3314,2283,3344
HBA1,11,7,3,10,13,17
HBA2,49,41,42,52,65,77
HBB,621,379,460,526,654,1030
HBBP1,0,0,0,0,0,0
HBCBP,1,1,0,0,2,0
HBD,5,0,4,0,0,2
HBE1,0,0,0,0,0,0
HBEGF,1154,25270,3612,12087,2087,37144
HBG1,0,0,0,0,0,0
HBG2,1,0,0,0,1,0
HBM,0,0,0,0,0,0
HBP1,1874,3836,2481,6088,2201,3693
HBQ1,0,0,0,0,0,2
HBS1L,2642,1912,2411,1865,2161,2151
HBZ,0,0,2,0,0,0
HCAR1,1,0,0,0,1,2
HCAR2,7,1699,121,1933,6,2571
HCAR3,22,1244,148,1526,20,2210
HCCAT3,4,8,6,7,6,12
HCCAT4,4,81,5,37,10,171
HCCAT5,0,0,0,0,0,0
HCCS,1738,1549,1924,1400,1742,1865
HCFC1,9879,8230,7175,7813,8424,8369
HCFC1R1,1425,648,1135,563,1419,716
HCFC2,934,923,880,541,944,828
HCG11,590,298,602,298,509,340
HCG14,0,1,0,1,2,0
HCG16,4,0,1,1,4,4
HCG17,3,2,2,4,3,7
HCG18,1247,1315,1147,1104,1123,1224
HCG22,0,0,0,0,0,1
HCG23,0,0,0,0,0,0
HCG25,12,15,7,10,20,18
HCG26,20,120,25,78,75,148
HCG27,18,58,28,69,25,42
HCG4,27,56,15,45,18,45
HCG4B,33,103,71,488,12,91
HCG8,62,72,77,60,82,81
HCG9,1,2,1,3,3,1
HCK,10714,29517,9928,17559,12015,27713
HCLS1,16427,12501,12162,9216,16233,14176
HCN1,0,0,0,0,0,0
HCN2,20,11,59,8,67,10
HCN3,101,61,79,120,109,95
HCN4,0,0,1,0,0,0
HCP5,500,2847,1064,4238,1327,4417
HCRT,2,0,2,0,1,0
HCRTR1,2,134,9,342,3,303
HCRTR2,12,0,8,2,1,1
HCST,2485,1859,3329,1864,4121,2345
HDAC1,3476,3493,2502,2744,3305,4070
HDAC10,1754,974,1168,1138,1917,1095
HDAC11,217,93,152,234,311,142
HDAC11-AS1,1,1,1,3,3,2
HDAC2,5397,3485,4348,3334,4250,3845
HDAC3,4201,3107,2750,2169,4171,3455
HDAC4,2184,964,1791,732,2600,993
HDAC5,1762,2021,2170,1967,2363,2330
HDAC6,2253,2874,2198,3209,2821,2843
HDAC7,2751,1866,2375,1627,2312,1965
HDAC8,725,657,761,707,800,755
HDAC9,952,631,2361,670,342,610
HDC,0,0,0,4,0,1
HDDC2,970,279,850,386,1121,398
HDDC3,530,198,406,182,477,182
HDGF,15534,13711,11481,9318,10320,14424
HDGFL1,0,0,0,0,0,0
HDGFRP2,2046,1755,2128,1629,1897,2000
HDGFRP3,332,342,269,322,236,449
HDHD1,1978,1223,1300,1060,1650,1088
HDHD2,1557,1440,1850,1631,1509,1107
HDHD3,362,357,312,546,494,459
HDLBP,32094,17972,31671,16239,29010,18541
HDX,129,233,75,386,97,219
HEATR1,3955,1274,2166,886,2901,1294
HEATR2,1648,407,1169,405,1145,501
HEATR3,3098,1048,2607,712,3021,1174
HEATR4,50,52,91,49,68,59
HEATR5A,5634,4119,5762,4160,5414,4294
HEATR5B,2662,2011,2262,1691,2892,2297
HEATR6,1521,2217,1343,3096,1649,2389
HEBP1,2302,2170,2324,1739,3308,2239
HEBP2,841,510,216,644,903,620
HECA,5226,6090,3299,4916,5079,6393
HECTD1,10842,7948,11955,6330,10607,9049
HECTD2,413,350,476,393,795,418
HECTD3,3619,3353,3139,3219,4488,3426
HECTD4,4664,5350,3878,4464,4802,5696
HECW1,0,0,0,2,0,0
HECW2,12,36,6,18,19,93
HEG1,1722,2646,3067,2000,2322,3560
HEIH,1366,1623,795,1628,1416,1908
HELB,164,484,92,460,102,337
HELLS,554,55,44,77,66,61
HELQ,658,695,574,768,675,794
HELT,0,1,0,1,0,1
HELZ,6064,5156,4225,4232,7603,5401
HELZ2,384,24612,1080,42109,559,20847
HEMGN,1,1,4,2,5,3
HEMK1,698,643,631,474,731,642
HENMT1,386,256,363,233,445,245
HEPACAM,0,0,0,0,0,1
HEPACAM2,1,1,1,3,1,1
HEPH,2,0,1,0,0,2
HEPHL1,2,4,2,20,2,3
HEPN1,0,0,0,0,0,0
HERC1,9441,6337,9709,4653,9726,6835
HERC2,7841,4367,6722,3247,6219,4827
HERC2P10,68,50,3,0,37,30
HERC2P2,7316,4281,652,657,3389,2437
HERC2P3,56,34,443,465,896,828
HERC2P4,16,20,9,7,5,5
HERC2P7,2,1,1,0,1,2
HERC2P9,441,408,418,367,485,438
HERC3,3108,3545,3378,2736,3445,4046
HERC4,3196,3379,3152,5250,3102,3223
HERC5,324,7151,368,20076,279,4645
HERC6,581,6384,736,8509,467,5901
HERPUD1,5431,3688,4820,5229,7323,4205
HERPUD2,1766,3150,1771,4359,1940,2936
HES1,7,270,25,253,13,184
HES2,28,8,54,8,114,11
HES3,0,0,0,0,0,0
HES4,5,149,23,1594,13,118
HES5,0,1,1,1,1,1
HES6,297,49,269,56,356,56
HES7,0,0,0,3,0,1
HESX1,25,408,32,1161,39,253
HEXA,9015,6840,8803,7634,17253,7026
HEXA-AS1,244,113,174,113,545,149
HEXB,30395,15236,26293,14957,37255,14463
HEXDC,903,1059,545,1041,1420,944
HEXIM1,2942,3968,2706,4352,2291,3854
HEXIM2,160,148,163,220,189,197
HEY1,2,80,6,140,0,60
HEY2,0,0,0,0,0,0
HEYL,12,7,7,13,38,4
HFE,510,542,474,697,890,792
HFE2,1,1,0,0,1,0
HFM1,1,0,0,0,0,0
HGC6.3,0,0,0,0,0,0
HGD,30,16,73,17,18,33
HGF,256,30,83,54,463,11
HGFAC,14,31,8,27,22,25
HGS,6331,7062,4569,6072,5462,7685
HGSNAT,8580,3400,5504,4004,7540,3486
HHAT,291,186,718,432,357,252
HHATL,0,0,1,0,0,0
HHEX,1341,320,714,163,1122,387
HHIP,1,0,0,0,1,0
HHIP-AS1,0,1,1,0,2,0
HHIPL1,1,1,5,6,0,0
HHIPL2,8,0,3,1,5,6
HHLA1,0,0,0,0,0,0
HHLA2,7,2,18,7,3,4
HHLA3,222,233,251,251,198,234
HIAT1,3682,5026,3785,4913,3509,4206
HIATL1,5352,5537,3662,5896,4774,5623
HIATL2,184,178,178,173,136,166
HIBADH,1680,1051,2085,898,1454,1081
HIBCH,797,413,974,422,696,375
HIC1,996,1947,803,2445,84,1212
HIC2,966,878,1826,797,864,1053
HID1,2,1,1,1,7,9
HIF1A,12043,15251,6365,18629,17296,19729
HIF1A-AS1,1,3,3,3,4,12
HIF1A-AS2,6,16,4,19,7,24
HIF1AN,4084,4171,3870,4145,4462,4826
HIF3A,0,0,0,0,0,0
HIGD1A,5470,4512,6218,4582,4255,4696
HIGD1B,12,5,4,4,9,13
HIGD1C,18,76,22,40,17,60
HIGD2A,3098,2210,3347,1950,3265,2101
HIGD2B,1,0,0,0,0,0
HILPDA,181,66,323,64,239,86
HILS1,0,0,0,0,0,0
HINFP,607,712,468,606,728,789
HINT1,3330,2806,3657,2360,3319,2724
HINT2,296,127,245,197,268,172
HINT3,1717,2201,2066,2337,2220,2269
HIP1,1720,7745,2842,3190,2583,10468
HIP1R,41,93,82,113,111,132
HIPK1,7650,7556,6434,6430,7782,8215
HIPK2,31822,12395,14318,11287,17089,17119
HIPK3,11865,11514,10814,9864,11611,11227
HIPK4,8,6,8,5,7,6
HIRA,2690,2731,1947,4203,2254,2156
HIRIP3,635,347,438,230,498,307
HIST1H1A,0,0,0,0,1,0
HIST1H1B,0,0,1,1,0,1
HIST1H1C,1888,1061,634,1194,437,685
HIST1H1D,1,8,2,2,1,4
HIST1H1E,1,5,0,9,2,4
HIST1H1T,0,3,0,0,0,3
HIST1H2AA,0,0,0,0,0,0
HIST1H2AB,0,1,0,0,0,1
HIST1H2AC,105,857,258,1469,99,790
HIST1H2AD,0,0,1,3,0,1
HIST1H2AE,16,21,10,44,8,14
HIST1H2AG,5,18,6,22,3,11
HIST1H2AH,0,6,1,2,1,1
HIST1H2AI,4,10,8,7,4,6
HIST1H2AJ,0,0,0,0,0,0
HIST1H2AK,4,4,8,8,3,7
HIST1H2AL,0,3,3,1,1,2
HIST1H2AM,3,1,1,6,0,2
HIST1H2APS1,0,0,0,0,0,0
HIST1H2BA,0,0,0,0,0,0
HIST1H2BB,0,1,0,2,0,1
HIST1H2BC,31,310,73,590,18,327
HIST1H2BD,59,488,169,969,25,443
HIST1H2BE,0,1,2,2,1,2
HIST1H2BF,0,8,2,12,1,3
HIST1H2BG,2,31,12,102,1,46
HIST1H2BH,17,8,6,16,3,9
HIST1H2BI,0,0,0,0,0,0
HIST1H2BJ,10,115,25,246,9,100
HIST1H2BK,972,2938,1461,3673,758,2934
HIST1H2BL,1,3,2,1,0,2
HIST1H2BM,0,0,1,0,0,0
HIST1H2BN,2,12,21,14,7,12
HIST1H2BO,1,2,2,0,0,1
HIST1H3A,1,4,2,2,1,0
HIST1H3B,0,0,0,0,0,0
HIST1H3C,0,1,0,0,0,0
HIST1H3D,7,110,20,151,9,93
HIST1H3E,75,166,76,172,34,100
HIST1H3F,0,0,0,0,1,2
HIST1H3G,1,2,0,6,0,1
HIST1H3H,2,33,4,24,0,16
HIST1H3I,2,0,0,1,0,0
HIST1H3J,0,0,0,0,0,0
HIST1H4A,0,0,0,0,0,0
HIST1H4B,0,0,0,0,0,0
HIST1H4C,3,5,0,1,0,1
HIST1H4D,0,3,3,4,0,8
HIST1H4E,1,14,8,16,2,13
HIST1H4F,0,0,0,0,0,0
HIST1H4G,0,0,0,0,0,0
HIST1H4H,10,85,15,122,8,63
HIST1H4I,0,11,2,9,1,12
HIST1H4J,1,2,1,3,1,5
HIST1H4K,3,13,5,17,0,18
HIST1H4L,0,1,0,0,0,0
HIST2H2AA3,0,1,3,5,0,1
HIST2H2AA4,2,25,1,23,0,10
HIST2H2AB,1,5,1,1,1,2
HIST2H2AC,4,8,4,13,3,16
HIST2H2BA,4,0,0,1,4,3
HIST2H2BC,12,30,9,26,4,20
HIST2H2BE,380,2566,753,3177,158,1753
HIST2H2BF,8,67,15,111,4,52
HIST2H3A,0,0,0,0,0,0
HIST2H3C,0,0,0,0,0,0
HIST2H3D,1,1,3,3,0,3
HIST2H4A,0,0,1,0,0,1
HIST2H4B,0,0,0,0,0,0
HIST3H2A,28,59,38,89,41,45
HIST3H2BB,1,2,5,13,6,2
HIST3H3,0,0,1,0,2,0
HIST4H4,10,27,4,26,6,6
HIVEP1,2321,6350,3005,6037,2485,5982
HIVEP2,441,2754,584,4972,340,2691
HIVEP3,5384,1179,6057,1304,3495,1961
HJURP,585,7,32,1,2,2
HK1,16076,8563,6739,6166,18585,11159
HK2,17075,43560,29618,50275,19473,47834
HK3,29279,11680,37033,10209,17408,11592
HKDC1,1,0,1,0,4,2
HKR1,478,438,509,261,761,634
HLA-A,39440,124525,50716,167285,72940,131675
HLA-B,75355,213948,103783,242323,131290,246157
HLA-C,32405,100326,49903,133874,53149,101233
HLA-DMA,8799,7628,9115,3413,20391,9595
HLA-DMB,8674,5190,9201,2315,19401,6736
HLA-DOA,391,972,241,113,2198,785
HLA-DOB,24,69,1,64,10,85
HLA-DPA1,16036,23147,14264,5664,53894,23696
HLA-DPB1,8198,9236,6576,2138,28710,9667
HLA-DPB2,6,61,6,3,4,2
HLA-DQA1,6875,19371,10078,4090,15660,16784
HLA-DQA2,24,306,78,16,257,511
HLA-DQB1,4066,8335,2317,1082,26476,12272
HLA-DQB2,3,2,2,0,499,137
HLA-DRA,41920,71260,44963,19261,128716,75875
HLA-DRB1,14147,23862,19247,11295,50291,33012
HLA-DRB3,0,0,0,0,0,0
HLA-DRB4,0,0,0,0,0,0
HLA-DRB5,2058,3416,2484,1530,30666,18739
HLA-DRB6,526,1030,993,562,475,365
HLA-E,10861,40876,22666,93833,36420,65264
HLA-F,1892,11613,2494,18705,3629,12188
HLA-F-AS1,113,233,90,240,116,248
HLA-G,22,109,278,469,35,199
HLA-H,1627,5176,1848,4143,2337,4147
HLA-J,91,311,111,259,157,307
HLA-L,60,313,97,556,82,206
HLCS,1080,628,931,690,1093,618
HLF,0,5,0,1,2,11
HLTF,1304,489,982,361,1010,485
HLTF-AS1,0,0,0,0,0,0
HLX,1069,3576,1703,4065,748,3353
HLX-AS1,7,6,10,9,6,10
HM13,22160,12717,27199,16190,19395,16682
HM13-AS1,80,46,65,44,51,63
HMBOX1,4535,4463,3921,3707,4508,5106
HMBS,1028,336,592,166,750,357
HMCES,1110,1068,1506,1731,985,1347
HMCN1,1,2,2,2,8,1
HMCN2,0,0,0,0,0,0
HMG20A,1853,1716,1214,1333,1874,1692
HMG20B,7585,9176,17434,25251,6898,12218
HMGA1,22618,9101,17673,5995,10857,9358
HMGA1P7,0,0,1,0,0,0
HMGA2,79,16,23,55,2,19
HMGB1,10317,5853,6429,4149,8037,5677
HMGB2,1452,577,517,567,776,540
HMGB3,806,285,910,756,539,337
HMGB3P1,0,0,0,0,0,0
HMGB4,0,0,0,0,0,0
HMGCL,1369,1509,1993,1679,1509,1468
HMGCLL1,0,0,0,0,0,0
HMGCR,7119,3518,7969,3131,6573,3744
HMGCS1,4055,2406,4613,3991,3996,1638
HMGCS2,0,0,0,0,0,1
HMGN1,6415,4731,4909,4885,6028,4704
HMGN2,5785,5868,4443,4678,5815,6409
HMGN2P46,118,955,205,857,26,691
HMGN3,2307,1184,2370,2304,2116,990
HMGN3-AS1,71,72,58,76,63,68
HMGN4,2304,2959,2152,3452,2478,2771
HMGN5,472,253,392,305,391,234
HMGXB3,4662,5895,4482,4920,4576,5469
HMGXB4,1356,1586,1251,1626,1195,1737
HMHA1,5824,4923,4446,8027,7111,5759
HMHB1,0,0,0,0,0,0
HMMR,681,70,69,87,45,55
HMOX1,16199,6021,8966,9246,26592,7224
HMOX2,1763,925,1710,814,1742,1157
HMP19,2,3,0,0,3,3
HMSD,0,8,1,40,1,3
HMX1,0,0,0,0,0,0
HMX2,1,0,0,0,0,0
HMX3,2,0,10,0,0,0
HN1,1932,1813,1130,3297,3060,2137
HN1L,3196,1373,2133,1704,2377,1564
HNF1A,33,18,23,23,38,31
HNF1A-AS1,0,0,0,0,0,0
HNF1B,2,5,1,3,0,1
HNF4A,0,0,0,1,0,0
HNF4A-AS1,0,0,0,0,0,0
HNF4G,0,0,0,3,0,0
HNMT,5877,4334,2552,2428,5309,3676
HNRNPA0,5848,3898,4300,3477,4505,3987
HNRNPA1,19261,11274,13456,8775,17045,12744
HNRNPA1L2,202,129,117,109,180,111
HNRNPA1P10,13,8,6,7,12,4
HNRNPA1P33,1,2,0,0,0,0
HNRNPA2B1,29535,24833,24745,24306,25580,26283
HNRNPA3,13548,8616,9693,8049,12024,9705
HNRNPA3P1,7,2,3,6,7,1
HNRNPAB,10485,3537,5387,2604,6165,3694
HNRNPC,21867,14475,17413,15137,18512,13678
HNRNPCL1,2,2,1,2,2,2
HNRNPCP5,0,0,0,0,0,0
HNRNPD,7188,5173,4887,4941,5864,5135
HNRNPDL,9686,7849,8225,6398,9939,8379
HNRNPF,11332,7424,6870,7610,10137,7538
HNRNPH1,17584,13452,11960,12320,14820,14615
HNRNPH2,29,15,24,15,23,11
HNRNPH3,4850,4693,3889,4709,4415,5021
HNRNPK,32915,23765,26319,22070,27672,25335
HNRNPKP3,0,0,0,0,0,0
HNRNPL,9333,8023,7872,7647,8003,8571
HNRNPLL,2591,2255,2302,1462,2035,2314
HNRNPM,10068,7415,7503,7722,8963,8607
HNRNPR,9788,5897,6347,6160,7834,5854
HNRNPU,25789,20967,20382,19979,21057,20732
HNRNPU-AS1,959,820,908,796,1086,1003
HNRNPUL1,12299,8925,8561,9146,11328,9234
HNRNPUL2,2284,1622,2180,1544,2293,1648
HNRNPUL2-BSCL2,0,4,2,1,0,1
HOGA1,1,0,0,0,0,0
HOMER1,549,530,1596,1062,293,758
HOMER2,254,152,393,514,201,138
HOMER3,2705,725,1136,585,3554,794
HOMEZ,1276,1573,1230,1643,1304,1471
HOOK1,2,8,5,5,23,38
HOOK2,332,345,225,384,346,375
HOOK3,8368,6370,7440,5349,7578,6309
HOPX,38,53,302,194,15,97
HORMAD1,95,100,102,110,66,66
HORMAD2,0,0,1,0,0,1
HOTAIR,0,0,0,0,0,0
HOTAIRM1,204,236,249,157,258,271
HOTTIP,0,0,0,0,0,0
HOXA-AS2,2,5,0,2,2,1
HOXA-AS3,0,0,0,0,0,0
HOXA1,95,51,98,25,45,47
HOXA10,0,0,2,0,1,0
HOXA10-AS,0,0,0,0,0,0
HOXA10-HOXA9,0,0,0,0,0,0
HOXA11,0,0,0,0,0,0
HOXA11-AS,0,0,0,0,1,0
HOXA13,0,0,0,0,0,0
HOXA2,6,3,1,0,1,5
HOXA3,5,0,4,1,3,2
HOXA4,17,6,4,0,18,2
HOXA5,11,0,22,2,27,7
HOXA6,0,0,0,0,0,0
HOXA7,0,0,0,0,0,0
HOXA9,0,0,1,0,2,0
HOXB-AS1,6,9,4,9,9,2
HOXB-AS3,0,0,0,0,0,0
HOXB1,0,0,0,0,0,0
HOXB13,0,0,0,0,0,0
HOXB2,142,212,80,256,105,116
HOXB3,31,34,9,16,19,19
HOXB4,38,35,5,21,21,11
HOXB5,0,0,0,0,0,0
